CODICE,TIPO,DESTINAZIONE,ZONA,ORDINE,PLUS,LIVELLO_PLUS,CATEGORIA,DESCRIZIONE,APPLICABILE_A,PREREQUISITO,PRZ_PAX_GEN,PRZ_PAX_FEB,PRZ_PAX_MAR,PRZ_PAX_APR,PRZ_PAX_MAG,PRZ_PAX_GIU,PRZ_PAX_LUG,PRZ_PAX_AGO,PRZ_PAX_SET,PRZ_PAX_OTT,PRZ_PAX_NOV,PRZ_PAX_DIC,INCLUDE,NON_INCLUDE,TERMINI,ICON,POPOLARITA,RISPARMIO_PERCENTUALE
ECUHA01,P,CUBA,L'AVANA,31,Cadillac d'Epoca Privata 4 Ore,L3,Esperienza Premium,Cadillac anni '50 privata con autista per 4 ore - itinerario personalizzato,Tour Havana,Minimo 2 persone,80,80,80,85,90,95,105,110,95,88,80,85,"Cadillac privata 4h;Autista-guida locale;Itinerario flessibile;Foto stop illimitati;Rum benvenuto",Cena;Biglietti attrazioni,Prezzo per auto fino 4 persone,🚗,alta,0
ECUHA02,P,CUBA,L'AVANA,32,Lezione Salsa Privata Coppia,L3,Esperienza Premium,Lezione salsa privata 2h con ballerini professionisti cubani per coppia,Salsa lesson,Solo coppie,45,45,45,48,52,55,60,62,53,50,45,48,"Lezione privata 2h;2 istruttori professionisti;Video performance vostra;Mojito;Musica live",Cena;Extra lezioni,A casa ballerini o hotel,💃,media,0
EMAMA01,P,MAROCCO,MARRAKECH,33,Hammam Luxury con Argan Rituale,L3,Esperienza Premium,Rituale hammam luxury con scrub argan - massaggio e tea lounge in spa 5 stelle,Hammam,Esperienza standard upgrade,50,50,50,55,60,68,78,82,65,58,50,55,"Hammam tradizionale;Scrub argan premium;Massaggio 60min;Maschera viso;Tea lounge;Bathrobe luxury",Mancia,Solo spa 5 stelle,🧖,media,0
EMAMA02,P,MAROCCO,MARRAKECH,34,Hot Air Balloon Sunrise Marrakech,L3,Esperienza Premium,Volo mongolfiera all'alba sulla Palmeraie con colazione berbera al rientro,Mattina libera,Qualsiasi giorno,180,180,180,190,205,220,240,245,210,195,180,190,"Volo mongolfiera 1h;Certificato volo;Colazione berbera tradizionale;Transfer hotel A/R;Champagne toast",Assicurazione (inclusa),Meteo permettendo - peso max 110kg,🎈,alta,0
EMASA01,P,MAROCCO,DESERTO SAHARA,35,Luxury Desert Camp Upgrade,L3,Esperienza Premium,Upgrade a campo lusso con tenda suite privata con bagno e cena gourmet,Desert camp,Campo standard,85,85,85,92,100,108,120,125,105,95,85,92,"Tenda suite con bagno privato;Letto king;Cena gourmet 5 portate;Colazione premium;Musica berbera privata;Stargazing guidato",Transfer 4x4 incluso in standard,Disponibilità limitata,⭐,media,0
ESPBA01,P,SPAGNA,BARCELLONA,36,Sagrada Familia Early Access,L3,Esperienza Premium,Ingresso Sagrada Familia 30min prima apertura con audioguida premium,Tour Gaudí,Esperienza Sagrada standard,28,28,28,30,35,40,48,50,38,32,28,30,"Ingresso 30min prima;No code;Audioguida premium;Accesso torri incluso;Foto senza turisti",Guida umana (tour standard),Solo ore 8:30,⛪,alta,0
ESPBA02,P,SPAGNA,BARCELLONA,37,Camp Nou Experience VIP,L3,Esperienza Premium,Tour Camp Nou con accesso aree VIP e museo interattivo - per veri tifosi,Esperienza Barcellona,Fan calcio,45,45,45,48,52,58,65,68,55,50,45,48,"Accesso totale stadio;Aree VIP;Museo interattivo;Spogliatoi;Tunnel ingresso;Player zone;Photo opportunities",Partita dal vivo,Non disponibile giorni partita,⚽,media,0
ESPMA01,P,SPAGNA,MADRID,38,Prado Museum Private Tour,L3,Esperienza Premium,Tour privato Prado con storica dell'arte 2h - focus opere richieste,Museo Prado,Minimo 2 persone,75,75,75,80,85,95,105,110,90,82,75,80,"Tour privato 2h;Storica arte esperta;Itinerario personalizzato;Skip line;Focus Velazquez/Goya/El Greco",Biglietto museo (€15),Max 6 persone,🎨,media,0
ESPAN01,P,SPAGNA,ANDALUSIA,39,Alhambra Nasrid Palaces Night,L3,Esperienza Premium,Visita serale Palazzi Nasridi illuminati - esperienza magica e intima,Alhambra,Solo sera specifiche,40,40,40,43,48,55,65,68,52,45,40,43,"Ingresso serale Nasridi;Illuminazione speciale;Gruppo piccolo;Audioguida;Atmosfera magica notturna",Alhambra giorno,Solo Martedì e Sabato sera,🌙,alta,0
EGITO01,P,GIAPPONE,TOKYO,40,Tsukiji Market VIP Dawn Experience,L3,Esperienza Premium,Accesso VIP mercato Tsukiji ore 4:30 con sushi breakfast chef e sake tasting,Market tour,Foodie experience,65,65,65,70,75,82,95,98,80,72,65,70,"Accesso ore 4:30;Guida esperta;Sushi breakfast chef;Sake tasting premium;Dietro le quinte mercato",Transfer hotel (opzionale +20€),Alzataccia estrema 4:00am,🍣,media,0
EGITO02,P,GIAPPONE,TOKYO,41,Kimono Rental Full Day Premium,L3,Esperienza Premium,Kimono premium rental con vestizione professionale e hair styling geisha,Giornata Tokyo,Minimo 1 giorno,55,55,55,58,62,68,78,82,65,60,55,58,"Kimono premium quality;Vestizione professionale;Hair styling;Accessori completi;Full day rental;Foto professionali 10 shots",Trucco geisha completo (+25€),Prenotazione 48h prima,👘,alta,0
EGIKY01,P,GIAPPONE,KYOTO,42,Tea Ceremony con Maiko Geisha,L3,Esperienza Premium,Cerimonia del tè privata con maiko (geisha apprendista) in tea house storica,Tea ceremony,Esperienza culturale premium,120,120,120,130,140,155,175,180,150,135,120,130,"Cerimonia con maiko;Tea house storica;Performance danza;Conversazione;Wagashi premium;Foto ricordo",Cena con geisha (€300+),Prenotazione minimo 7gg - disponibilità limitata,🍵,bassa,0
EGIOS01,P,GIAPPONE,OSAKA,43,Dotonbori Food Crawl Privato,L3,Esperienza Premium,Tour gastronomico privato Dotonbori 3h con chef locale - 8+ ristoranti top,Food tour,Minimo 2 persone,75,75,75,80,85,95,105,110,90,82,75,80,"Tour privato 3h;Chef locale;8 ristoranti top;Degustazioni illimitate;Sake pairing;Nessuna fila",Ulteriori drink;Cena extra,Max 4 persone per gruppo,🍜,media,0
ESERV06,P,TUTTE,TUTTE,44,Consulenza Pre-Viaggio 1 Ora,L5,Servizio Consulenza,Videocall 1h con travel expert per ottimizzare itinerario e tips insider,Pre-partenza,Prenotazione confermata,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,"Videocall 1h;Travel expert dedicato;Ottimizzazione itinerario;Tips insider;Q&A;Documento riassuntivo",Modifiche itinerario,Da prenotare minimo 15gg prima partenza,💼,alta,100
ESERV07,P,TUTTE,TUTTE,45,Concierge H24 WhatsApp,L5,Servizio Assistenza,Concierge dedicato H24 via WhatsApp per tutta la durata viaggio,Intero viaggio,Pacchetti MEDIUM o HIGH,35,35,35,38,42,45,50,50,43,38,35,38,"Concierge H24;WhatsApp dedicato;Prenotazioni ristoranti;Biglietti last minute;Emergenze;Consigli real-time",Costi servizi prenotati,Risposta entro 30min,📱,alta,0
ESERV08,P,TUTTE,TUTTE,46,Travel App Premium con Offline Maps,L5,Servizio Tech,App mobile personalizzata con itinerario - mappe offline e voucher digitali,Viaggio,Qualsiasi pacchetto,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,"App personalizzata;Itinerario giorno per giorno;Mappe offline;Voucher digitali;Info utili;Emergency contacts",Niente - tutto incluso,Download pre-partenza,📲,alta,100
ESERV09,P,TUTTE,TUTTE,47,Zaino Viaggio Kit Premium,L5,Servizio Fisico,Zaino travel kit con essentials: adattatori - power bank - neck pillow - kit igiene,Pre-partenza,Optional acquisto,45,45,45,45,45,45,45,45,45,45,45,45,"Zaino branded;Adattatori universali;Power bank 10000mAh;Neck pillow memory;Kit igiene viaggio;Lucchetti TSA;Organizer cavi",Contenuto zaino,Consegna prima partenza o ritiro,🎒,media,0
EASSIC04,P,TUTTE,TUTTE,48,Assicurazione Bagaglio Premium,L5,Assicurazione,Copertura bagaglio fino €5000 con rimborso rapido e assistenza acquisto emergenza,Viaggio,Qualsiasi,18,18,18,20,22,25,28,28,23,20,18,20,"Copertura €5000;Rimborso rapido 48h;Assistenza acquisto emergenza;Ritardo bagaglio compenso;Worldwide",Oggetti valore non dichiarati,Dichiarazione valore entro check-in,🧳,media,0
EASSIC05,P,TUTTE,TUTTE,49,Assicurazione Attività Avventura,L5,Assicurazione,Copertura specifica per attività avventura: diving - trekking - sport estremi,Esperienze avventura,Attività specifiche,28,28,28,30,32,35,40,42,34,30,28,30,"Copertura diving fino 40m;Trekking montagna;Sport adventure;Evacuazione elicottero;Medica €100k",Sport estremi professionali,Deve essere attivata prima attività,🏔️,media,0
ECOMBO01,P,TUTTE,TUTTE,50,Pacchetto VIP All-Inclusive,L5,Pacchetto Premium,Pacchetto completo: Business class + hotel 5* + guida privata + assicurazione top,Intero viaggio,Pacchetto completo,800,800,800,850,900,980,1100,1150,950,880,800,850,"Upgrade business tutti voli;Suite hotel;Guida italiana privata 3gg;Transfer limousine;Assicurazione platinum;Concierge H24;Fast track;Lounge",Esperienze base (già incluse),Risparmi €400 vs singoli upgrade,💎,bassa,15
ECOMBO02,P,TUTTE,TUTTE,51,Pacchetto Comfort Smart,L5,Pacchetto Medio,Pacchetto smart: Premium Economy + camera superior + transfer privati + SIM,Intero viaggio,Pacchetto completo,180,180,180,195,210,235,265,275,225,205,180,195,"Premium Economy voli;Camera superior hotel;Transfer privati A/R;SIM dati illimitati;Assicurazione base;App premium",Guida;Esperienze extra,Risparmi €80 vs singoli servizi,🌟,alta,20
ECOMBO03,P,TUTTE,TUTTE,52,Pacchetto Honeymoon Romantico,L5,Pacchetto Speciale,Pacchetto luna di miele: suite - champagne - cena romantica - spa couples,Coppia,Solo 2 persone,220,220,220,240,260,290,330,345,280,255,220,240,"Suite upgrade;Champagne welcome;Cena romantica 1 sera;Spa couples massage;Decorazione camera;Late checkout;Fotografo 1h",Transfer;Esperienze,Per coppie in luna di miele,💑,media,10
