CODICE,TIPO,DESTINAZIONE,ZONA,ZONA_COLLEGATA,ORDINE,ESPERIENZE,DIFFICOLTA,SLOT,PRX_PAX,DESCRIZIONE,EXTRA_1,EXTRA_2,EXTRA_3,EXTRA_4,EXTRA_5,EXTRA_6,EXTRA_7,EXTRA_8,EXTRA_9
XTHCH07,X,THAILANDIA,CHIANG MAI,ZTHCH2,07,Quad nella Jungla,2,2,109,,,,,,,,,,
XTHCH08,X,THAILANDIA,CHIANG MAI,ZTHCH2,08,Tour dei Templi di Chiang Mai,2,1,0,Tour di mezza giornata del Wat Pha Lat e del Wat Phra That Doi Suthep,,,,,,,,,
XTHCH09,X,THAILANDIA,CHIANG MAI,ZTHCH2,09,Santuario degli elefanti,2,2,0,Programma di alimentazione del santuario degli elefanti,,,,,,,,,
XTHCH10,X,THAILANDIA,CHIANG MAI,ZTHCH2,10,Corso di cucina e Tour delle erbe,1,1,0,Corso di cucina mercato e tour del giardino delle erbe tailandesi,,,,,,,,,
XTHCH11,X,THAILANDIA,CHIANG MAI,ZTHCH2,11,ZipLine,2,2,0,Kingkong Smile Zipline con pranzo e trasferimenti,,,,,,,,,
XTHCH12,X,THAILANDIA,CHIANG MAI,ZTHCH2,12,Alba Spirituale,2,2,0,"Alba spirituale al Wat Doi Suthep; Pha Lat; elemosina e meditazione",,,,,,,,,
XTHPH01,X,THAILANDIA,PHUKET,ZTHPH1,01,City Tour e dintorni,1,2,0,Tour guidato della città di Phuket,,,,,,,,,
XTHPH02,X,THAILANDIA,PHUKET,ZTHPH1,02,Baia di Phang Nga,2,2,0,Tour della Baia di Phang,,,,,,,,,
XTHPH03,X,THAILANDIA,PHUKET,ZTHPH1,03,Phi Phi e Maya Bay,2,2,0,Escursione alle isole Phi Phi e Maya Bay,,,,,,,,,
XTHPH04,X,THAILANDIA,PHUKET,ZTHPH1,04,Similan,2,3,0,Escursione di un giorno alle isole Similan,,,,,,,,,
XTHPH05,X,THAILANDIA,PHUKET,ZTHPH1,05,Tour delle isole Khai,2,2,0,Tour delle 3 isole Khai per lo snorkeling e il relax,,,,,,,,,
XTHPH06,X,THAILANDIA,PHUKET,ZTHPH1,06,Santuario degli Elefanti,1,1,0,Escursione al santuario della giungla degli elefanti con alimentazione e doccia,,,,,,,,,
XTHPH07,X,THAILANDIA,PHUKET,ZTHPH1,07,Fuoristrada e ZipLine,2,2,0,Avventura in fuoristrada e zipline a Phuket,,,,,,,,,
XTHPH08,X,THAILANDIA,PHUKET,ZTHPH1,08,Equitazione a Kamala,2,1,0,Attività di equitazione sulla spiaggia di Kamala,,,,,,,,,
XTHKO01,X,THAILANDIA,KOH SAMUI,ZTHKO2,01,Tour Isola di Koh Samui,1,2,0,Tour guidato dell'isola con spiagge e cascate,,,,,,,,,
XVIHA01,X,VIETNAM,HANOI,ZVIHA01,01,Tour del Quartiere Vecchio,1,1,0,Walking tour del Quartiere Vecchio con street food,,,,,,,,,
XVIHA02,X,VIETNAM,HANOI,ZVIHA01,02,Tempio della Letteratura,1,1,0,Visita al Tempio della Letteratura e Pagoda,,,,,,,,,
XVIHA03,X,VIETNAM,HANOI,ZVIHA01,03,Spettacolo Marionette,1,1,0,Spettacolo tradizionale di marionette sull'acqua,,,,,,,,,
XVIHL01,X,VIETNAM,HA LONG BAY,ZVIHL02,01,Crociera Ha Long Bay,1,2,0,Crociera di un giorno nella baia con kayak e grotte,,,,,,,,,
XVIHL02,X,VIETNAM,HA LONG BAY,ZVIHL02,02,Villaggio Galleggiante,1,1,0,Visita al villaggio galleggiante con kayak,,,,,,,,,
XVIHO01,X,VIETNAM,HOI AN,ZVIHO03,01,Tour Città Antica,1,1,0,Walking tour della città antica con lanterne,,,,,,,,,
XVIHO02,X,VIETNAM,HOI AN,ZVIHO03,02,Cooking Class Vietnamita,1,1,0,Corso di cucina vietnamita e tour del mercato,,,,,,,,,
XVIHO03,X,VIETNAM,HOI AN,ZVIHO03,03,Sartoria Su Misura,1,1,0,Esperienza sartoria con abito su misura,,,,,,,,,
XVISG01,X,VIETNAM,HO CHI MINH,ZVISG04,01,Tunnel di Cu Chi,1,2,0,Tour dei tunnel di Cu Chi e museo della guerra,,,,,,,,,
XVISG02,X,VIETNAM,HO CHI MINH,ZVISG04,02,Tour Città e Mercati,1,1,0,Tour della città con Palazzo della Riunificazione e mercati,,,,,,,,,
XVISG03,X,VIETNAM,HO CHI MINH,ZVISG04,03,Delta del Mekong,1,2,0,Escursione di un giorno al Delta del Mekong,,,,,,,,,
XGRAT01,X,GRECIA,ATENE,ZGRAT01,01,Tour Acropoli e Partenone,1,1,0,Visita guidata dell'Acropoli e del Partenone,,,,,,,,,
XGRAT02,X,GRECIA,ATENE,ZGRAT01,02,Tour Atene Classica,1,2,0,Tour dei principali siti archeologici di Atene,,,,,,,,,
XGRAT03,X,GRECIA,ATENE,ZGRAT01,03,Tour Gastronomico,1,1,0,Food tour nei mercati e taverne di Atene,,,,,,,,,
XGRSA01,X,GRECIA,SANTORINI,ZGRSA02,01,Tramonto a Oia,1,1,0,Esperienza del tramonto a Oia,,,,,,,,,
XGRSA02,X,GRECIA,SANTORINI,ZGRSA02,02,Wine Tour Santorini,1,1,0,Tour delle cantine con degustazione,,,,,,,,,
XGRCR01,X,GRECIA,CRETA,ZGRCR03,01,Palazzo di Cnosso,1,1,0,Visita al Palazzo Minoico di Cnosso,,,,,,,,,
XGRCR02,X,GRECIA,CRETA,ZGRCR03,02,Gola di Samaria,2,3,0,Trekking nella Gola di Samaria,,,,,,,,,
XGRCR03,X,GRECIA,CRETA,ZGRCR03,03,Spiagge di Creta,1,2,0,Tour delle spiagge più belle di Creta,,,,,,,,,
XCUHA01,X,CUBA,L'AVANA,ZCUHA01,01,Tour L'Avana Vieja,1,1,0,Walking tour dell'Avana Vecchia,,,,,,,,,
XCUHA02,X,CUBA,L'AVANA,ZCUHA01,02,Tour in Auto d'Epoca,1,1,0,Tour della città in auto d'epoca americana,,,,,,,,,
XCUHA03,X,CUBA,L'AVANA,ZCUHA01,03,Esperienza Salsa e Rum,1,1,0,Serata con musica salsa e degustazione rum,,,,,,,,,
XCUVI01,X,CUBA,VIÑALES,ZCUVI02,01,Valle di Viñales,1,2,0,Tour della valle con piantagioni di tabacco,,,,,,,,,
XCUTR01,X,CUBA,TRINIDAD,ZCUTR03,01,Tour Trinidad Coloniale,1,1,0,Walking tour del centro storico coloniale,,,,,,,,,
XCUTR02,X,CUBA,TRINIDAD,ZCUTR03,02,Playa Ancón,1,2,0,Escursione alla spiaggia di Playa Ancón,,,,,,,,,
XMAMA01,X,MAROCCO,MARRAKECH,ZMAMA01,01,Medina e Souq,1,1,0,Tour guidato della Medina e dei Souq,,,,,,,,,
XMAMA02,X,MAROCCO,MARRAKECH,ZMAMA01,02,Giardini Majorelle,1,1,0,Visita ai Giardini Majorelle e Museo YSL,,,,,,,,,
XMASA01,X,MAROCCO,DESERTO SAHARA,ZMASA02,01,Notte nel Deserto,2,2,0,Campo berbero con cena e notte sotto le stelle,,,,,,,,,
XMAES01,X,MAROCCO,ESSAOUIRA,ZMAES03,01,Tour Essaouira,1,1,0,Tour della medina e del porto di Essaouira,,,,,,,,,
XSPBA01,X,SPAGNA,BARCELLONA,ZSPBA01,01,Tour Gaudí,1,1,0,Visita Sagrada Familia e opere di Gaudí,,,,,,,,,
XSPBA02,X,SPAGNA,BARCELLONA,ZSPBA01,02,Gothic Quarter,1,1,0,Walking tour del Quartiere Gotico,,,,,,,,,
XSPBA03,X,SPAGNA,BARCELLONA,ZSPBA01,03,Tapas Tour,1,1,0,Tour gastronomico con tapas e vini catalani,,,,,,,,,
XSPMA01,X,SPAGNA,MADRID,ZSPMA02,01,Tour Museo Prado,1,1,0,Visita guidata del Museo del Prado,,,,,,,,,
XSPMA02,X,SPAGNA,MADRID,ZSPMA02,02,Madrid Reale,1,1,0,Tour del Palazzo Reale e centro storico,,,,,,,,,
XSPAN01,X,SPAGNA,ANDALUSIA,ZSPAN03,01,Alhambra di Granada,1,2,0,Visita guidata dell'Alhambra,,,,,,,,,
XSPAN02,X,SPAGNA,ANDALUSIA,ZSPAN03,02,Spettacolo Flamenco,1,1,0,Spettacolo di flamenco a Siviglia,,,,,,,,,
XSPAN03,X,SPAGNA,ANDALUSIA,ZSPAN03,03,Mezquita di Córdoba,1,1,0,Visita della Mezquita-Cattedrale di Córdoba,,,,,,,,,
XGITO01,X,GIAPPONE,TOKYO,ZGITO01,01,Tokyo Moderna,1,2,0,Tour dei quartieri moderni Shibuya e Shinjuku,,,,,,,,,
XGITO02,X,GIAPPONE,TOKYO,ZGITO01,02,Templi di Tokyo,1,1,0,Visita Sensoji e Meiji Jingu,,,,,,,,,
XGITO03,X,GIAPPONE,TOKYO,ZGITO01,03,Tsukiji e Sushi Experience,1,1,0,Mercato del pesce e sushi making class,,,,,,,,,
XGIKY01,X,GIAPPONE,KYOTO,ZGIKY02,01,Templi di Kyoto,1,2,0,Tour dei templi principali Kinkakuji e Fushimi Inari,,,,,,,,,
XGIKY02,X,GIAPPONE,KYOTO,ZGIKY02,02,Gion e Geishe,1,1,0,Walking tour nel quartiere Gion,,,,,,,,,
XGIOS01,X,GIAPPONE,OSAKA,ZGIOS03,01,Street Food Osaka,1,1,0,Food tour a Dotonbori,,,,,,,,,
